h,n,rejectionProb_001_DM,rejectionProb_001_ADM,rejectionProb_001_IM,rejectionProb_001_AIM,rejectionProb_005_DM,rejectionProb_005_ADM,rejectionProb_005_IM,rejectionProb_005_AIM,rejectionProb_010_DM,rejectionProb_010_ADM,rejectionProb_010_IM,rejectionProb_010_AIM
1,10,0.048,0.035,0.009,0.019,0.120,0.084,0.047,0.090,0.188,0.132,0.095,0.174
,20,0.031,0.027,0.010,0.018,0.102,0.071,0.047,0.081,0.164,0.119,0.093,0.165
,50,0.016,0.018,0.012,0.016,0.072,0.055,0.052,0.075,0.126,0.100,0.097,0.151
,100,0.014,0.018,0.011,0.013,0.059,0.057,0.051,0.075,0.109,0.099,0.099,0.149
,300,0.011,0.011,0.012,0.015,0.046,0.045,0.057,0.072,0.087,0.082,0.115,0.141
3,10,0.130,0.098,0.010,0.020,0.235,0.183,0.054,0.098,0.318,0.254,0.101,0.188
,20,0.068,0.048,0.009,0.020,0.159,0.121,0.045,0.093,0.231,0.184,0.092,0.176
,50,0.035,0.028,0.010,0.015,0.109,0.085,0.049,0.076,0.181,0.144,0.097,0.150
,100,0.022,0.023,0.010,0.014,0.085,0.076,0.047,0.069,0.144,0.132,0.092,0.141
,300,0.012,0.012,0.010,0.012,0.054,0.055,0.051,0.068,0.103,0.101,0.106,0.134
6,10,0.171,0.139,0.010,0.024,0.284,0.240,0.055,0.109,0.365,0.313,0.108,0.208
,20,0.102,0.071,0.011,0.019,0.201,0.157,0.051,0.092,0.283,0.229,0.100,0.175
,50,0.053,0.041,0.008,0.016,0.149,0.112,0.043,0.077,0.226,0.182,0.089,0.150
,100,0.030,0.031,0.007,0.013,0.104,0.094,0.043,0.064,0.170,0.157,0.091,0.134
,300,0.014,0.014,0.011,0.014,0.064,0.063,0.053,0.062,0.115,0.111,0.108,0.132
