Period,Trending,Seasonal,N,MSECV1,MSEACV1,ratio1,MSECV2,MSEACV2,ratio2
Yearly,,,23000,97.77,88.81,-9.2***,103.20,97.54,-5.5***
,,,,(2.84),(2.62),,(3.38),(3.33),
,F,F,2214,229.60,215.83,-6.0** ,305.21,301.61,-1.2   
,,,,(15.69),(15.64),,(22.34),(22.91),
,F,T,267,56.98,49.67,-12.8*  ,57.95,57.13,-1.4   
,,,,(11.36),(9.56),,(16.09),(14.89),
,T,F,15076,102.14,91.51,-10.4***,101.06,93.03,-8.0***
,,,,(3.52),(3.12),,(3.77),(3.63),
,T,T,5443,34.05,31.59,-7.2***,29.18,29.00,-0.6   
,,,,(2.45),(2.29),,(2.73),(2.48),
Quarterly,,,24000,45.85,40.03,-12.7***,51.48,46.68,-9.3***
,,,,(1.79),(1.50),,(2.00),(1.81),
,F,F,1561,140.75,121.14,-13.9***,153.42,130.69,-14.8** 
,,,,(12.99),(10.99),,(15.17),(12.79),
,F,T,681,92.94,75.12,-19.2   ,112.91,100.14,-11.3   
,,,,(23.19),(15.49),,(21.06),(18.33),
,T,F,14115,45.73,39.64,-13.3***,48.18,43.56,-9.6***
,,,,(2.24),(1.93),,(2.13),(1.81),
,T,T,7643,22.49,21.04,-6.4   ,31.27,30.53,-2.4   
,,,,(1.67),(1.52),,(3.22),(3.38),
Monthly,,,48000,27.98,25.77,-7.9***,29.93,27.61,-7.8***
,,,,(0.63),(0.62),,(0.70),(0.68),
,F,F,2574,98.69,81.02,-17.9***,107.14,91.97,-14.2***
,,,,(6.26),(5.45),,(6.92),(6.43),
,F,T,1964,29.62,26.98,-8.9*  ,33.68,30.22,-10.3** 
,,,,(2.70),(2.60),,(4.15),(3.65),
,T,F,21613,35.80,33.43,-6.6***,37.27,34.67,-7.0***
,,,,(1.00),(1.04),,(1.10),(1.09),
,T,T,21849,11.78,11.58,-1.7   ,13.24,12.80,-3.3*  
,,,,(0.53),(0.53),,(0.58),(0.57),
Weekly,,,359,13.17,9.86,-25.1** ,9.90,10.60,7.1   
,,,,(2.07),(2.04),,(1.46),(2.15),
,F,F,54,24.45,22.62,-7.5   ,13.05,11.52,-11.7   
,,,,(7.71),(11.45),,(2.72),(2.15),
,F,T,3,2.44,1.48,-39.3   ,0.43,0.38,-11.7   
,,,,(1.41),(0.73),,(0.28),(0.20),
,T,F,257,11.77,7.85,-33.3** ,9.81,11.35,15.7   
,,,,(2.27),(1.44),,(1.88),(2.95),
,T,T,45,8.31,6.58,-20.9   ,7.26,5.92,-18.4   
,,,,(3.87),(2.65),,(3.11),(2.26),
Daily,,,4227,4.86,4.66,-4.0   ,7.75,7.98,3.0   
,,,,(1.22),(1.26),,(2.30),(2.40),
,F,F,226,4.10,5.37,30.8   ,5.59,5.60,0.2   
,,,,(2.82),(4.46),,(3.93),(4.38),
,F,T,19,1.19,1.23,3.7   ,1.16,1.27,9.8   
,,,,(0.79),(0.90),,(0.83),(0.92),
,T,F,3535,1.92,1.63,-14.9** ,1.89,1.65,-13.1** 
,,,,(0.52),(0.52),,(0.53),(0.54),
,T,T,447,28.66,28.42,-0.8   ,55.42,59.59,7.5   
,,,,(10.64),(10.88),,(21.12),(22.03),
Hourly,,,414,23.89,17.93,-24.9***,86.50,76.90,-11.1   
,,,,(3.57),(2.50),,(18.51),(19.59),
,F,F,1,0.97,0.68,-29.7   ,0.01,0.01,-15.4   
,,,,( NA),( NA),,( NA),( NA),
,F,T,125,51.78,36.26,-30.0***,149.95,110.10,-26.6***
,,,,(9.40),(5.98),,(37.47),(31.12),
,T,F,5,4.09,4.37,6.7   ,2.52,2.85,13.1   
,,,,(3.78),(4.17),,(1.93),(2.13),
,T,T,283,12.00,10.13,-15.5   ,60.26,63.81,5.9   
,,,,(2.89),(2.38),,(21.26),(25.13),
All,,,100000,47.27,42.71,-9.7***,51.18,47.58,-7.0***
,,,,(0.84),(0.77),,(0.99),(0.95),
